song name,artist,genre,year,song name (bengali),,,,,,,,,,
Asile E Bhanga Ghore ,Manabendra Mukhopadhyay,nazrul,1999,????? ? ?????? ????,,,,,,,,,,
Piya Gechhe Kabe Paro Desh ,Manabendra Mukherjee  ,nazrul,1973,????? ???? ??? ??? ???,,,,,,,,,,
Sei Purano Sure Abar Gaan ,Manabendra Mukherjee  ,nazrul,1970,????? ?????? ???? ??? ???,,,,,,,,,,
Bhore Jhiler Jole ,Anup Ghoshal,nazrul,1977,???? ????? ??,,,,,,,,,,
Kano Phire Jao (1961),Manabendra Mukhopadhyay,nazrul,1961,???? ???? ???,,,,,,,,,,
Amar Bijon Ghore ,Hemanta Mukherjee,nazrul,1981,???? ???? ???,,,,,,,,,,
Kholo Kholo Go Ankhi ,Manabendra Mukhopadhyay,nazrul,1999,???? ???? ?? ????,,,,,,,,,,
Chander peyalate aji ,Manabendra Mukhopadhyay,nazrul,1970,??????? ???????? ???,,,,,,,,,,
Sondha Ghodhuli Logone,Manobendro Mukherjee,nazrul,1969,?????? ?????? ????,,,,,,,,,,
Mago Chinmoyee Roop Dhare    ,Srikanto Acharya,nazrul,2008,???? ???????? ??? ???,,,,,,,,,,
Amar Shyamla Baran Bangla Mayer Rup Dekhe Ja Ayre Aye ,K A Shakil,nazrul,2016,?? ????? ?????? ??? ???? ?? ????? ????,,,,,,,,,,
Tumito Dariye Acho ,Manabendra Mukherjee,nazrul,1969,???? ??????? ???,,,,,,,,,,
"AMAR JABAR SAMAY HOLO, DAO BIDAY ",Himanti Sukla,nazrul,1990,"???? ???? ???? ????, ??? ??????",,,,,,,,,,
Bel Ful Ene Dao,Purabi Dutta,nazrul,2014,??? ??? ??? ???,,,,,,,,,,
E Ghor Shrabano Nishi ,Himanti Sukla,nazrul,1998,? ??? ??????? ????,,,,,,,,,,
Kaar nikunje raat katay,Firoza Begum,nazrul,1979,??? ???????? ??? ??????,,,,,,,,,,
Amar Ganer Mala Ami Korbo  ,Firoza Begum,nazrul,1985,???? ????? ???? ??? ?????,,,,,,,,,,
Mone Porre Aaj ,Firoza Begum,nazrul,1976,??? ???? ??,,,,,,,,,,
Tumi Sunite Cheyo Na ,Mahduri Chaterjee,nazrul,1968,???? ?????? ????? ??,,,,,,,,,,
Sanjher Pakhira Phirilo Kulay  (1975),Firoza Begum,nazrul,1975,?????? ?????? ????? ??????,,,,,,,,,,
Shanjher Pakhira Phirilo ,Firoza Begum,nazrul,1974,?????? ?????? ??????,,,,,,,,,,
Mor Na Mitite Asha  Bhangilo Khela,Pratima Banerjee,nazrul,2015,??? ?? ?????? ??? ?????? ????,,,,,,,,,,
Ki Hobe Janiya Bolo ,Ajoy Chakraborty,nazrul,2014,?? ???? ??????? ????,,,,,,,,,,
Bodhu Ami Chinu Bujhi  Gaan Diye Shuru ,Firoza Begum,nazrul,2015,???? ??? ???? ???? ??? ????? ????,,,,,,,,,,
Koto Jug Jeno Dekhini Tomare  ,Firoza Begum,nazrul,2002,???? ??? ???? ?????? ??????,,,,,,,,,,
Tumi Jodi Radha Hobe ,Ferdous Ara,nazrul,2009,???? ????? ???? ?????,,,,,,,,,,
Shyam tumi jodi radha hote,Firoza Begum,nazrul,1987,????? ???? ????? ???? ????,,,,,,,,,,
Kemone Rakhi Ankhibari Chapiya ,Sandhya Mukherjee,nazrul,2014,?????? ???? ????????? ???????,,,,,,,,,,
Koto Phool Tumi Pothe Fele Dao,Naseer Yasmin,nazrul,2014,???? ??? ???? ???? ??? ???,,,,,,,,,,
Bhese Ase Sudur Smritir Surobhi ,Sandhya Mukhopadhyay,nazrul,1974,???? ?? ????? ??????? ?????,,,,,,,,,,
Bhanga Mon Aar Jorra  ,Indrani Sen,nazrul,2014,?????? ?? ?? ????,,,,,,,,,,
Bhanga Mon Aar Jora Nahi Jay ,Manabendra Mukherjee,nazrul,1986,?????? ?? ?? ???? ???? ???,,,,,,,,,,
Ogo piyo tumi,Firoza Begum,nazrul,1990,??? ????? ????,,,,,,,,,,
Priyotomo He Bidai,Firoza Begum,nazrul,1990,?????????? ?? ?????,,,,,,,,,,
Mohua Bone Bon Papiya,Firoza Begum,nazrul,1990,????? ??? ?? ??????,,,,,,,,,,
Bagichay Bulbuli tui,Firoza Begum,nazrul,1990,???????? ??????? ???,,,,,,,,,,
He priyo tomar amar majhe,Firoza Begum,nazrul,1990,?? ?????? ????? ???? ????,,,,,,,,,,
Ami Gagan gahane sandhya tara,Firoza Begum,nazrul,1990,??? ??? ???? ??????? ????,,,,,,,,,,
Prajapati prajapati kothay pele,Firoza Begum,nazrul,1990,???????? ???????? ?????? ????,,,,,,,,,,
Shaon rate jodi,Supratik Das,nazrul,2019,???? ???? ?????,,,,,,,,,,
Ami baul holam,Supratik Das,nazrul,2019,??? ???? ?????,,,,,,,,,,
Swapane esho,Supratik Das,nazrul,2019,?????? ???,,,,,,,,,,
Sokhi badhilo,Chandraboli Rudra Dutta,nazrul,2019,??? ??????,,,,,,,,,,
Shunyo e buke,Supratik Das,nazrul,2019,?????? ? ????,,,,,,,,,,
Door Dwipvasini Chini Tomay Chini,Asha Bhosle,nazrul,2002,????? ??????????? ???? ?????? ????,,,,,,,,,,
Arunkanti Ke Go jogi Bhikari,Asha Bhosle,nazrul,2002,?????????? ?? ?? ???? ??????,,,,,,,,,,
Nahe Nahe Priyo E Naye ankhi Jol,Asha Bhosle,nazrul,2002,???? ???? ?????? ? ???? ???? ??,,,,,,,,,,
Meghla Nishi Nikunjo Pothe,Asha Bhosle,nazrul,2002,????? ???? ??????? ???,,,,,,,,,,
Bhoriya Paran Shuniteche,Asha Bhosle,nazrul,2002,??????? ???? ????????,,,,,,,,,,
Nahe Nahe Priyo E Naye Ankhi Jol,Asha Bhosle,nazrul,2002,???? ???? ?????? ? ???? ???? ??,,,,,,,,,,
Room- Jhoom,Asha Bhosle,nazrul,1996,???- ???,,,,,,,,,,
Aajo Kande Kaanane,Asha Bhosle,nazrul,1996,??? ?????? ?????,,,,,,,,,,
Gange Jaoar Elo Phire,Asha Bhosle,nazrul,1996,?????? ???? ??? ????,,,,,,,,,,
Paradeshi Jaao Re Phire,Asha Bhosle,nazrul,1996,?????? ??? ?? ????,,,,,,,,,,
e koan Madhur sraab,Asha Bhosle,nazrul,1996,? ????? ???? ?????,,,,,,,,,,
Bhijli kemone,Asha Bhosle,nazrul,1996,????? ????,,,,,,,,,,
Parajanme dekha hole,Asha Bhosle,nazrul,1996,??????? ???? ????,,,,,,,,,,
Tritiyo Biswa,Fossils,rock band,2004,?????? ?????,,,,,,,,,,
Acid,Fossils,rock band,2004,????,,,,,,,,,,
29 se october,Fossils,rock band,2004,29 ?? ???????,,,,,,,,,,
Bycycle chore,Fossils,rock band,2004,????????? ???,,,,,,,,,,
Swasti,Fossils,rock band,2004,????????,,,,,,,,,,
Swabhabik khoon,Fossils,rock band,2009,???????? ???,,,,,,,,,,
Maa,Fossils,rock band,2009,??,,,,,,,,,,
Danober utthan,Fossils,rock band,2009,??????? ????,,,,,,,,,,
Guru,Fossils,rock band,2009,????,,,,,,,,,,
Phire Chaulo,Fossils,rock band,2009,???? ?????,,,,,,,,,,
Birudher pandulipi,Fossils,rock band,2009,??????? ??????????,,,,,,,,,,
Mummy,Fossils,rock band,2009,???,,,,,,,,,,
Bhoot er Tilottoma pt. 1,Fossils,rock band,2009,????? ????????? pt. 1,,,,,,,,,,
Dhongso romonthon,Fossils,rock band,2009,???? ???????,,,,,,,,,,
Haspatale,Fossils,rock band,2009,????????,,,,,,,,,,
Mrityu r pore,Fossils,rock band,2009,?????? ?? ?????,,,,,,,,,,
Railline e Mrityu,Fossils,rock band,2009,??????? ? ??????,,,,,,,,,,
Ei bidaye,Artcell,rock band,2022,? ???????,,,,,,,,,,
Chile kothai sepai,Artcell,rock band,2022,???? ????? ?????,,,,,,,,,,
Dhushor shomoy,Artcell,rock band,2022,???? ?????,,,,,,,,,,
Uthsober uthsahe,Artcell,rock band,2022,??????? ???????,,,,,,,,,,
Poth Chola,Artcell,rock band,2022,??? ????,,,,,,,,,,
Dukkho Bilas,Artcell,rock band,2022,???? ?????,,,,,,,,,,
Onno shomoy,Artcell,rock band,2022,???? ???,,,,,,,,,,
Aniket pantor,Artcell,rock band,2006,?????? ????????,,,,,,,,,,
Dhusor somoy,Artcell,rock band,2006,???? ?????,,,,,,,,,,
Ghune khawa rod,Artcell,rock band,2006,???? ??????? ??,,,,,,,,,,
Gontobbohin,Artcell,rock band,2006,???????????,,,,,,,,,,
Lin,Artcell,rock band,2006,???,,,,,,,,,,
Pathor bagan,Artcell,rock band,2006,???? ?????,,,,,,,,,,
Sristi sharok,Artcell,rock band,2006,?????? ?????,,,,,,,,,,
Alosh somoyer par,Artcell,rock band,2002,???? ?????? ????,,,,,,,,,,
Bhul jonmo,Artcell,rock band,2002,??? ?????,,,,,,,,,,
Itihas,Artcell,rock band,2002,??????,,,,,,,,,,
Kritrim manush,Artcell,rock band,2002,??????? ?????,,,,,,,,,,
Mukkhosh,Artcell,rock band,2002,??????,,,,,,,,,,
Amar e gaan,Aurthohin,rock band,2022,???? ? ???,,,,,,,,,,
Adbhut,Aurthohin,rock band,2022,?????,,,,,,,,,,
Aajibon,Aurthohin,rock band,2022,?????,,,,,,,,,,
Bidrohi,Aurthohin,rock band,2022,????????,,,,,,,,,,
Nithor,Aurthohin,rock band,2022,????,,,,,,,,,,
Phoenix 1,Aurthohin,rock band,2022,??????? 1,,,,,,,,,,
Anmone 2,Aurthohin,rock band,2011,????? ?,,,,,,,,,,
Chaite paro,Aurthohin,rock band,2004,???? ????,,,,,,,,,,
Ekta gaan dao,Aurthohin,rock band,2004,???? ??? ???,,,,,,,,,,
Bijoyer gaan,Aurthohin,rock band,2011,??????? ???,,,,,,,,,,
Jaak na,Aurthohin,rock band,2011,??? ??,,,,,,,,,,
Majhe Majhe,Aurthohin,rock band,2011,???? ????,,,,,,,,,,
Uru uru mon,Aurthohin,rock band,2011,??? ??? ???,,,,,,,,,,
Alo r adhar,Aurthohin,rock band,2011,??? ?? ????,,,,,,,,,,
Golper shuru,Aurthohin,rock band,2011,?????? ????,,,,,,,,,,
Buddha hesheche,Cactus,rock band,2004,????? ??????,,,,,,,,,,
Udener gaan,Cactus,rock band,2004,?????? ???,,,,,,,,,,
Bandhu re,Cactus,rock band,2004,????? ??,,,,,,,,,,
Ure jete jete,Cactus,rock band,2004,??? ???? ????,,,,,,,,,,
Lash kata ghar,Cactus,rock band,2004,??? ???? ??,,,,,,,,,,
Kristi,Cactus,rock band,2004,????????,,,,,,,,,,
Kamaler swami,Cactus,rock band,2004,??????? ??????,,,,,,,,,,
Rajar raja,Cactus,rock band,2004,????? ????,,,,,,,,,,
Blah blah blah,Cactus,rock band,2013,???? ???? ????,,,,,,,,,,
Dulchhe,Cactus,rock band,2013,?????,,,,,,,,,,
Boro deri,Cactus,rock band,2013,???? ????,,,,,,,,,,
Status update,Cactus,rock band,2013,????????? ?????,,,,,,,,,,
Mon,Cactus,rock band,2013,??,,,,,,,,,,
Nil nirjone,Cactus,rock band,2013,????? ??????,,,,,,,,,,
Noah,Cactus,rock band,2013,???,,,,,,,,,,
Mohiner ghoraguli,Cactus,rock band,2005,?????? ?????????,,,,,,,,,,
Massiha,Cactus,rock band,2008,??????,,,,,,,,,,
Khudra ami tuchaa ami,Cactus,rock band,2008,????? ??? ???? ???,,,,,,,,,,
Jibon chaiche aro besi,Lakkhichhara,rock band,2005,???? ????? ?? ????,,,,,,,,,,
Lakkhichhara,Lakkhichhara,rock band,2005,?????????,,,,,,,,,,
Ke ki bole gelo,Lakkhichhara,rock band,2005,?? ?? ???? ????,,,,,,,,,,
Phire esho,Lakkhichhara,rock band,2005,???? ???,,,,,,,,,,
Aami raji,Lakkhichhara,rock band,2005,??? ????,,,,,,,,,,
Harate chai na abar,Lakkhichhara,rock band,2005,????? ??? ?? ???,,,,,,,,,,
